Company_ID,Company_Name,Industry_Type,Company_Size,Ownership_Type,Internship_ID,Role_Title,Sector,Mode,Start_Date,Application_Deadline,Skills_Required,Education_Required,Minimum_CGPA_Percentage,Total_Slots,City,State_UT,Location_Type,Preferred_Applicants_From,Internship_Status,Date_Posted,Description
101,RELIANCE INDUSTRIES LIMITED,Energy,Large Enterprise,Private,I001,Project Management Intern,E-commerce,Remote,08-12-2025,01-12-2025,maintenance; marketplace ops; operations; power systems; safety,UG,6.3,7,Chennai,Tamil Nadu,Rural,Local State,Open,19-08-2025,"Join Reliance Industries as a Project Management Intern and gain hands-on experience in managing large-scale energy projects. Ideal candidates should possess strong organizational skills, knowledge of power systems, and experience in marketplace operations. This role requires excellent communication abilities, safety awareness, and the ability to work in a fast-paced environment. Perfect for students interested in energy sector project coordination and operations management."
102,TATA CONSULTANCY SERVICES LIMITED,IT,Large Enterprise,PSU,I002,DevOps Intern,IT,Hybrid,17-11-2025,09-11-2025,communication; css; html; java; linux; teamwork; writing,UG,6.8,7,Lucknow,Uttar Pradesh,Metro,Any,Open,30-08-2025,"Exciting DevOps internship opportunity at TCS! Work on cutting-edge IT infrastructure and deployment pipelines. Candidates should have programming skills in Java, web development knowledge (HTML/CSS), and Linux system administration experience. Strong communication and teamwork skills are essential. This role offers exposure to modern DevOps practices, automation tools, and cloud technologies. Ideal for computer science students passionate about software deployment and infrastructure management."
103,HDFC BANK LIMITED,Banking,Large Enterprise,Private,I003,Marketing Intern,Railway,Remote,23-11-2025,11-11-2025,accounting; audit; documentation; excel; operations,Diploma,8.6,10,Pune,Maharashtra,Aspirational district,Local State,Open,30-08-2025,"Join HDFC Bank's marketing team and contribute to innovative banking solutions. This role requires strong analytical skills, proficiency in Excel for data analysis, and understanding of accounting principles. Candidates should have excellent documentation abilities, audit knowledge, and operational awareness. Perfect for students interested in financial services marketing, customer engagement strategies, and digital banking initiatives. Remote work opportunity with exposure to banking industry best practices."
104,OIL AND NATURAL GAS CORPORATION LIMITED,Oil & Gas,PSU,PSU,I004,Quality Assurance Intern,Automotive,Hybrid,28-10-2025,16-10-2025,documentation; presentation; teamwork; time management,PG,9.2,8,Bhopal,Madhya Pradesh,Rural,Any,Open,27-08-2025,"ONGC offers a prestigious Quality Assurance internship in the automotive sector. Ideal candidates should have strong documentation skills, excellent presentation abilities, and proven teamwork experience. This role requires exceptional time management skills and attention to detail. Perfect for postgraduate students interested in quality control processes, automotive industry standards, and process improvement methodologies. Hybrid work model with hands-on experience in oil & gas quality assurance practices."
105,INFOSYS LIMITED,IT,Large Enterprise,PSU,I005,Sales Intern,Automotive,Remote,30-10-2025,21-10-2025,cad; communication; problem solving; sql; time management,PG,,8,Hyderabad,Telangana,Aspirational district,Any,Open,09-09-2025,"Infosys presents an excellent Sales Intern opportunity in the automotive sector. Candidates should possess CAD design skills, strong communication abilities, and problem-solving expertise. SQL knowledge for data analysis and excellent time management skills are required. This role offers exposure to automotive sales processes, customer relationship management, and technical sales support. Ideal for postgraduate students interested in B2B sales, automotive technology, and client engagement strategies."
106,NTPC LIMITED,Power,PSU,PSU,I006,Blockchain Intern,IT,Onsite,23-11-2025,14-11-2025,css; electrical; java; problem solving; python; teamwork; testing,Diploma,9.1,8,Jaipur,Rajasthan,Rural,Any,Open,09-09-2025,"NTPC offers a cutting-edge Blockchain internship combining power sector expertise with emerging technology. Candidates should have programming skills in Java and Python, electrical engineering knowledge, and web development experience (CSS). Strong problem-solving abilities, teamwork skills, and testing expertise are essential. This role provides hands-on experience in blockchain applications for power sector, smart contracts, and distributed ledger technology. Perfect for students interested in energy technology innovation and blockchain implementation."
107,TATA STEEL LIMITED,Steel,Large Enterprise,PSU,I007,Supply Chain Intern,Healthcare,Remote,29-11-2025,18-11-2025,lab techniques; operations; patient care; quality control; safety; supply chain; teamwork; writing,UG,9.3,7,Noida,Uttar Pradesh,Metro,Rural Only,Open,13-09-2025,"Tata Steel presents a unique Supply Chain internship in the healthcare sector. Candidates should have knowledge of lab techniques, operations management, and patient care protocols. Strong quality control understanding, safety awareness, and supply chain expertise are required. Excellent teamwork and writing skills are essential. This role offers exposure to healthcare supply chain management, medical equipment logistics, and quality assurance processes. Ideal for students interested in healthcare operations and supply chain optimization."
108,ITC LIMITED,FMCG,Large Enterprise,PSU,I008,Digital Marketing Intern,IT,Onsite,06-11-2025,26-10-2025,communication; java; linux; operations; writing,Any,77%,12,Hyderabad,Telangana,Tier-2,Rural Only,Open,15-08-2025,"ITC offers an exciting Digital Marketing internship in the FMCG sector. Candidates should have strong communication skills, Java programming knowledge, and Linux system experience. Operations understanding and excellent writing abilities are required. This role provides hands-on experience in digital marketing campaigns, social media management, and e-commerce strategies. Perfect for students interested in FMCG marketing, digital advertising, and brand management. Onsite opportunity with exposure to ITC's diverse product portfolio."
109,INDIAN OIL CORPORATION LIMITED,Oil & Gas,PSU,PSU,I009,Digital Marketing Intern,Logistics,Onsite,16-11-2025,03-11-2025,ms excel; procurement; quality control; safety; warehouse ops,PG,6.4,7,Ahmedabad,Gujarat,Metro,Local State,Open,05-09-2025,"Indian Oil Corporation presents a Digital Marketing internship in the logistics sector. Candidates should have advanced Excel skills, procurement knowledge, and quality control expertise. Safety awareness and warehouse operations understanding are essential. This role offers exposure to digital marketing for logistics services, supply chain visibility, and customer engagement strategies. Perfect for postgraduate students interested in oil & gas marketing, logistics technology, and digital transformation in traditional industries."
110,ICICI BANK LIMITED,Banking,Large Enterprise,Private,I010,Data Analyst Intern,E-commerce,Hybrid,20-11-2025,10-11-2025,accounting; customer service; presentation; teamwork,UG,,12,Mumbai,Maharashtra,Rural,Any,Open,06-09-2025,"ICICI Bank offers a Data Analyst internship in the e-commerce sector. Candidates should have strong accounting knowledge, excellent customer service skills, and presentation abilities. Teamwork and collaboration skills are essential. This role provides hands-on experience in financial data analysis, e-commerce analytics, and customer behavior insights. Perfect for students interested in banking technology, data-driven decision making, and fintech innovation. Hybrid work model with exposure to India's leading private banking sector."
