Applicant_ID,Sector_Preferences,Skills,Location_Preference,CGPA_or_Percentage_Normalized,Past_Participation_Encoded,Willingness_to_Relocate_Encoded,Preferred_Industry_Type_Corporate,Preferred_Industry_Type_MSME,Preferred_Industry_Type_PSU,Preferred_Industry_Type_Startup,Internship_Mode_Hybrid,Internship_Mode_In-person,Internship_Mode_Remote,Education_Level_Encoded
1001,Energy; IT; Telecom,communication; css; git; html; maintenance; react; teamwork; writing,Chandigarh,0.4500,1,1,0,1,0,0,0,1,0,3
1002,Healthcare; Automotive,assembly; assessment; patient care; problem solving; quality checks; teaching; time management; writing,Kanpur,0.2640,0,1,0,0,0,1,0,0,1,1
1003,Software; Finance; Logistics; Energy,accounting; adobe xd; algorithms; docker; problem solving; routing; ui principles; writing,Warangal,0.2211,1,1,0,0,1,0,0,0,1,4
1004,Energy; Banking; Finance,adobe xd; customer service; excel; gst; operations; tally; ui principles,Jaipur,0.6520,0,0,0,1,0,0,0,0,1,3
1005,Banking; Logistics; Electrical; Automotive,circuit analysis; content writing; design basics; embedded; excel; quality checks; soldering; teamwork,Ludhiana,0.5060,0,1,1,0,0,0,0,0,1,4
1006,Banking; Telecom; Education; Electrical,communication; content creation; embedded; fiber splicing; lesson planning; teaching; writing,Ahmedabad,0.6000,0,0,0,1,0,0,0,0,1,1
1007,Automotive; Railway; Banking,customer service; financial modeling; presentation; supply chain,Ahmedabad,0.0700,1,1,0,1,0,0,0,1,0,3
1008,Banking; Telecom; Logistics; Railway,fiber splicing; financial modeling; presentation; problem solving; safety; troubleshooting,Mumbai,0.9580,0,1,1,0,0,0,1,0,0,3
1009,Banking; Finance,audit; excel; gmp; gst; pharmacology; tally; teamwork,New Delhi,0.3880,1,1,0,0,1,0,0,0,1,1
1010,Banking; Finance; Telecom; Healthcare,biostatistics; fiber splicing; financial modeling; gst; patient care; presentation; problem solving; statistics,Nagpur,0.8526,0,1,0,0,0,1,0,1,0,1
1011,Energy; Logistics; E-commerce; Electrical,adobe xd; cataloging; customer support; inventory; problem solving; teamwork,Patna,0.7020,0,0,1,0,0,0,1,0,0,1
1012,IT; Railway,data analysis; javascript; lab techniques; python; sql; time management,Ludhiana,0.6211,0,1,0,0,1,0,0,1,0,3
1013,Banking; Healthcare,audit; biostatistics; customer service; excel; field work; patient care; soil testing; writing,Cuttack,0.7560,0,1,0,0,0,1,0,0,1,3
1014,Electrical; IT; Banking; Telecom,financial modeling; html; networking; python; rf planning; testing; time management,Mumbai,0.4820,0,0,0,1,0,0,1,0,0,2
1015,Telecom; Manufacturing; Finance; Healthcare,cam; communication; financial modeling; gst; legal research; writing,Gwalior,0.7684,0,0,1,0,0,0,0,1,0,3
1016,Energy; Automotive; Banking; Healthcare,assembly; assessment; biostatistics; excel; first aid; presentation; supply chain,Kochi,0.0080,0,1,0,0,0,1,0,1,0,4
